year,winner_name,category,work_title,data_source
2024,"Ronen Bergman","General","","Wikidata"
2024,"Ronen Zvulun","General","","Wikidata"
2024,"Brandon Som","Poetry","","Wikidata"
2023,"Carl Phillips","Poetry","","Wikidata"
2023,"Sanaz Toossi","Drama","English","Wikidata"
2023,"English","Drama","","Wikidata"
2022,"Diane Seuss","Poetry","frank: sonnets","Wikidata"
2022,"How I escaped a Chinese internment camp","General","","Wikidata"
2022,"Fat Ham","Drama","","Wikidata"
2022,"Walter Hickey","General","How I escaped a Chinese internment camp","Wikidata"
2022,"Josh Adams","General","How I escaped a Chinese internment camp","Wikidata"
2022,"James Ijames","Drama","Fat Ham","Wikidata"
2022,"frank: sonnets","Poetry","","Wikidata"
2021,"The Hot Wing King","Drama","","Wikidata"
2021,"Natalie Diaz","Poetry","Postcolonial Love Poem","Wikidata"
2021,"Katori Hall","Drama","The Hot Wing King","Wikidata"
2020,"The Tradition","Poetry","","Wikidata"
2020,"Jericho Brown","Poetry","","Wikidata"
2020,"Michael R. Jackson","Drama","A Strange Loop","Wikidata"
2020,"A Strange Loop","Drama","","Wikidata"
2019,"Forrest Gander","Poetry","","Wikidata"
2019,"Jackie Sibblies Drury","Drama","","Wikidata"
2018,"Frank Bidart","Poetry","Half-light","Wikidata"
2018,"Half-light","Poetry","","Wikidata"
2018,"Cost of Living","Drama","","Wikidata"
2018,"Laurie Skrivan","General","","Wikidata"
2018,"Hannah McKay","General","","Wikidata"
2018,"Martyna Majok","Drama","Cost of Living","Wikidata"
2017,"Olio","Poetry","","Wikidata"
2017,"Sweat","Drama","","Wikidata"
2017,"Lynn Nottage","Drama","Sweat","Wikidata"
2016,"Ozone Journal","Poetry","","Wikidata"
2016,"Jessica Rinaldi","General","","Wikidata"
2016,"Lin-Manuel Miranda","Drama","Hamilton","Wikidata"
2016,"Hamilton","Drama","","Wikidata"
2016,"Peter Balakian","Poetry","","Wikidata"
2015,"Gregory Pardlo","Poetry","","Wikidata"
2015,"Between Riverside and Crazy","Drama","","Wikidata"
2015,"Stephen Adly Guirgis","Drama","Between Riverside and Crazy","Wikidata"
2014,"Vijay Seshadri","Poetry","","Wikidata"
2014,"The Flick","Drama","","Wikidata"
2014,"Annie Baker","Drama","The Flick","Wikidata"
2013,"Sharon Olds","Poetry","","Wikidata"
2013,"Disgraced","Drama","","Wikidata"
2013,"Ayad Akhtar","Drama","Disgraced","Wikidata"
2012,"Tracy K. Smith","Poetry","Life on Mars","Wikidata"
2012,"Quiara Alegría Hudes","Drama","Water by the Spoonful","Wikidata"
2012,"Water by the Spoonful","Drama","","Wikidata"
2011,"Kay Ryan","Poetry","","Wikidata"
2011,"Barbara Davidson","General","","Wikidata"
2011,"Clybourne Park","Drama","","Wikidata"
2011,"Bruce Norris","Drama","Clybourne Park","Wikidata"
2010,"Rae Armantrout","Poetry","","Wikidata"
2010,"Versed","Poetry","","Wikidata"
2010,"Next to Normal","Drama","","Wikidata"
2010,"Tom Kitt","Drama","Next to Normal","Wikidata"
2010,"Brian Yorkey","Drama","Next to Normal","Wikidata"
2009,"W. S. Merwin","Poetry","The Shadow of Sirius","Wikidata"
2009,"Carlotta Gall","General","","Wikidata"
2009,"Dexter Filkins","General","","Wikidata"
2009,"Pir Zubair Shah","General","","Wikidata"
2009,"Lynn Nottage","Drama","Ruined","Wikidata"
2009,"Ruined","Drama","","Wikidata"
2008,"Robert Hass","Poetry","Time and Materials: Poems, 1997-2005","Wikidata"
2008,"Philip Schultz","Poetry","","Wikidata"
2008,"August: Osage County","Drama","","Wikidata"
2008,"Tracy Letts","Drama","August: Osage County","Wikidata"
2007,"Natasha Trethewey","Poetry","Native Guard","Wikidata"
2007,"Rabbit Hole","Drama","","Wikidata"
2007,"Jane Spencer","General","","Wikidata"
2007,"Mei Fong","General","","Wikidata"
2007,"David Lindsay-Abaire","Drama","Rabbit Hole","Wikidata"
2006,"Claudia Emerson","Poetry","","Wikidata"
2005,"John Patrick Shanley","Drama","Doubt: A Parable","Wikidata"
2005,"Doubt: A Parable","Drama","","Wikidata"
2005,"Ted Kooser","Poetry","","Wikidata"
2004,"Franz Wright","Poetry","","Wikidata"
2004,"I Am My Own Wife","Drama","","Wikidata"
2004,"Doug Wright","Drama","I Am My Own Wife","Wikidata"
2003,"Paul Muldoon","Poetry","","Wikidata"
2003,"Mary Jordan","General","","Wikidata"
2003,"Anna in the Tropics","Drama","","Wikidata"
2003,"Nilo Cruz","Drama","Anna in the Tropics","Wikidata"
2002,"Carl Dennis","Poetry","","Wikidata"
2002,"Ruth Fremson","General","","Wikidata"
2002,"Suzan-Lori Parks","Drama","Topdog/Underdog","Wikidata"
2002,"Topdog/Underdog","Drama","","Wikidata"
2001,"Stephen Dunn","Poetry","Different Hours","Wikidata"
2001,"Proof","Drama","","Wikidata"
2001,"David Auburn","Drama","Proof","Wikidata"
2000,"C. K. Williams","Poetry","","Wikidata"
2000,"Janet Reeves","General","","Wikidata"
2000,"Dinner with Friends","Drama","","Wikidata"
