year,winner_name,category,work_title,data_source
2024,"Brandon Som","Poetry","","Wikidata"
2023,"Carl Phillips","Poetry","","Wikidata"
2022,"Diane Seuss","Poetry","frank: sonnets","Wikidata"
2022,"frank: sonnets","Poetry","","Wikidata"
2021,"Natalie Diaz","Poetry","Postcolonial Love Poem","Wikidata"
2020,"The Tradition","Poetry","","Wikidata"
2020,"Jericho Brown","Poetry","","Wikidata"
2019,"Forrest Gander","Poetry","","Wikidata"
2018,"Frank Bidart","Poetry","Half-light","Wikidata"
2018,"Half-light","Poetry","","Wikidata"
2017,"Olio","Poetry","","Wikidata"
2016,"Ozone Journal","Poetry","","Wikidata"
2016,"Peter Balakian","Poetry","","Wikidata"
2015,"Gregory Pardlo","Poetry","","Wikidata"
2014,"Vijay Seshadri","Poetry","","Wikidata"
2013,"Sharon Olds","Poetry","","Wikidata"
2012,"Tracy K. Smith","Poetry","Life on Mars","Wikidata"
2011,"Kay Ryan","Poetry","","Wikidata"
2010,"Rae Armantrout","Poetry","","Wikidata"
2010,"Versed","Poetry","","Wikidata"
2009,"W. S. Merwin","Poetry","The Shadow of Sirius","Wikidata"
2008,"Robert Hass","Poetry","Time and Materials: Poems, 1997-2005","Wikidata"
2008,"Philip Schultz","Poetry","","Wikidata"
2007,"Natasha Trethewey","Poetry","Native Guard","Wikidata"
2006,"Claudia Emerson","Poetry","","Wikidata"
2005,"Ted Kooser","Poetry","","Wikidata"
2004,"Franz Wright","Poetry","","Wikidata"
2003,"Paul Muldoon","Poetry","","Wikidata"
2002,"Carl Dennis","Poetry","","Wikidata"
2001,"Stephen Dunn","Poetry","Different Hours","Wikidata"
2000,"C. K. Williams","Poetry","","Wikidata"
1999,"Mark Strand","Poetry","","Wikidata"
1998,"Charles Wright","Poetry","","Wikidata"
1997,"Lisel Mueller","Poetry","","Wikidata"
1996,"Jorie Graham","Poetry","","Wikidata"
1995,"Philip Levine","Poetry","","Wikidata"
1994,"Yusef Komunyakaa","Poetry","","Wikidata"
1993,"Louise Glück","Poetry","The Wild Iris","Wikidata"
