president_number,president,term_number,term_start,term_end,poll_start,poll_end,polling_institute,approval,disapproval,no_opinion,sample_size
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-11-03,2025-11-04,"Emerson College",41,49,10,1000
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-11-07,2025-11-09,"Morning Consult",44,54,2,2200
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-11-10,2025-11-13,"Reuters/Ipsos",40,58,2,1500
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-11-01,2025-11-05,"AP-NORC",36,62,2,1200
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-10-15,2025-10-20,"Gallup Organization",43,53,4,1005
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-10-10,2025-10-15,"Quinnipiac University",42,52,6,1400
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-10-01,2025-10-05,"Pew Research Center",41,56,3,5000
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-09-20,2025-09-25,"CNN",39,59,2,1500
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-09-15,2025-09-20,"ABC News",42,55,3,1800
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-09-01,2025-09-10,"Economist/YouGov",43,52,5,1500
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-08-20,2025-08-25,"Gallup Organization",45,52,3,1005
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-08-10,2025-08-15,"Reuters/Ipsos",44,53,3,1500
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-08-01,2025-08-05,"Monmouth University",44,53,3,802
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-07-15,2025-07-20,"Quinnipiac University",45,51,4,1400
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-07-10,2025-07-15,"AP-NORC",43,55,2,1200
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-07-01,2025-07-05,"CNN",44,54,2,1500
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-06-20,2025-06-25,"Pew Research Center",46,51,3,5000
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-06-10,2025-06-15,"Economist/YouGov",45,51,4,1500
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-06-01,2025-06-05,"Gallup Organization",46,51,3,1005
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-05-20,2025-05-25,"Reuters/Ipsos",45,52,3,1500
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-05-10,2025-05-15,"ABC News",45,52,3,1800
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-05-01,2025-05-05,"Quinnipiac University",46,50,4,1400
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-04-20,2025-04-25,"CNN",44,53,3,1500
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-04-10,2025-04-15,"Monmouth University",45,52,3,802
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-04-01,2025-04-05,"Gallup Organization",47,50,3,1005
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-03-20,2025-03-25,"Pew Research Center",48,49,3,5000
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-03-10,2025-03-15,"Reuters/Ipsos",47,50,3,1500
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-03-01,2025-03-05,"Economist/YouGov",47,49,4,1500
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-02-20,2025-02-25,"Quinnipiac University",48,49,3,1400
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-02-10,2025-02-15,"AP-NORC",49,49,2,1200
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-02-01,2025-02-05,"Gallup Organization",50,48,2,1005
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-01-25,2025-01-30,"CNN",51,47,2,1500
47,"Donald Trump",2,2025-01-20,2029-01-20,2025-01-22,2025-01-25,"ABC News",52,46,2,1800
